"TITRE de l'article";"DATE";"ID";"Collégien";"lycéen";"étudiant";"jeune diplômé";"parent";"équipe éducative et professionnels accompagnants";"métier";"formation/Etudes";"emploi";"agenda-événement";"procédure d’orientation";"handicap";"national";"régional";"académique";"multi-site";"international""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Principes fondamentaux de l&apos;économie et de la gestion";"42795";"658921, 831060";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Biotechnologies";"42795";"659280, 831071";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Création et activités artistiques : Arts du son";"42795";"659282, 831072";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Création et activités artistiques : Arts du spectacle";"42795";"659307, 831076";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Création et activités artistiques : Arts visuels";"42795";"659309, 831077";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Création et activités artistiques : Patrimoine";"42795";"659313, 831078";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Création et innovation technologiques";"42795";"659250, 831067";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Écologie, agronomie, territoire et développement durable";"42795";"658931, 831061";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Informatique et création numérique";"42736";"783789, 792211";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Langue vivante 3 étrangère ou régionale ";"42795";"658935, 831062";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Langues et cultures de l&apos;Antiquité : Latin";"42795";"659124, 831063";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Langues et cultures de l&apos;Antiquité :Grec";"42795";"659173, 831064";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Littérature et société";"42795";"659177, 831065";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Méthodes et pratiques scientifiques";"42795";"659181, 831066";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Santé et social";"42795";"781552, 831081";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Sciences de l&apos;ingénieur";"42795";"659285, 831074";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Sciences et laboratoire";"42795";"659284, 831073";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Arts du cirque";"42795";"659257, 831068";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Education physique et sportive";"42795";"659261, 831069";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Création et culture design : un enseignement d&apos;exploration artistique";"42795";"780068, 831080";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Les bacs généraux (dossier)";"";"43425, 438090";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Le bac ES (économique et social)";"42795";"434410, 438279";"";"1";"";"";"2";"2";"2";"2";"";"";"1";"";"X";"";"";"";
"Le bac L (littéraire)";"42795";"434417,  438286";"";"1";"";"";"2";"2";"2";"2";"";"";"1";"";"X";"";"";"";
"Le bac S (scientifique) ";"42795";"434422, 438291";"";"1";"";"";"2";"2";"2";"2";"";"";"1";"";"X";"";"";"";
"Les bacs technologiques (dossier)";"";"434251, 438089";"";"1";"";"";"2";"2";"2";"2";"";"";"1";"";"X";"";"";"";
"Le bac STI2D (sciences et technologies de l&apos;industrie et du développement durable) ";"42795";"435235, 439156";"";"1";"";"";"2";"2";"2";"2";"";"";"1";"";"X";"";"";"";
"Le bac STD2A (sciences et technologies du design et des arts appliqués) ";"42795";"434416, 438285";"";"1";"";"";"2";"2";"2";"2";"";"";"1";"";"X";"";"";"";
"Le bac STL (sciences et technologie de laboratoire)";"42795";"434416, 438285";"";"1";"";"";"2";"2";"2";"2";"";"";"1";"";"X";"";"";"";
"Le bac ST2S (sciences et technologies de la santé et du social) session 2014 ";"42795";"576646, 583289";"";"1";"";"";"2";"2";"2";"2";"";"";"1";"";"X";"";"";"";
"Le bac STMG (sciences et technologies du management et de la gestion)&#10; (dossier)  ";"42795";"434419, 438288";"";"1";"";"";"2";"2";"2";"2";"";"";"1";"";"X";"";"";"";
"STMG, queles spécialités choisir ?";"42186";"790297, 798744";"";"1";"";"";"2";"2";"2";"2";"";"";"1";"";"X";"";"";"";
"STMG gestion finance";"42186";"790301, 798748";"";"1";"";"";"2";"2";"2";"2";"";"";"1";"";"X";"";"";"";
"STMG ressources humaines";"42186";"790299, 798746";"";"1";"";"";"2";"2";"2";"2";"";"";"1";"";"X";"";"";"";
